Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
Algeria,Middle East and Northern Africa,Arabic,Muslim,39728000,2381740,5.67,4046.334,49.5,0.5966,4.330796789,0.385,6.125,4.34,7.8,11.2,15.84,27.6,1,98,0,0,0,0.2,0,0.8,10.3,73.7,4.01,41,3.04,21.2,1.36,151,0.9,1.71,X,X,X,X,X,X,X,-0.8,4.72
Ecuador,Latin America and Caribbean,Spanish,Christian,16212000,248360,5.994,6175.568,49.94,0.7389,9.436014941,2.23,13.11,10.685,14.06,3.62,19.64,45.4,94.1,0.01,5.5,0,0,0.3,0,0,11.3,64.2,6.33,23,2.5,8.6,5.8,233,4.4,0.67,X,155.87,78,8,63,67,0,-0.5,5.1
Egypt,Middle East and Northern Africa,Arabic,Muslim,92443000,995450,4.376,3026.732,49.46,0.5935,4.868043987,0.315,7.25,6.86,9.94,13.05,17.27,31.5,11.2,88.9,0,0,0,0,0,0.1,14.6,42.8,3.06,28,3.44,18,2.51,116,0.4,1.46,X,237.95,80,38,52,68,0,-0.6,5.97
Spain,Southern Europe,Spanish,Christian,46672000,499563.9844,6.35,28071.828,50.9,0.7266,8.297691623,0.125,6.895,11.24,17.065,22.06,56.76,34.7,78.6,2.1,19,0.04,0,0.04,0.02,0.1,X,80.8,8.29,36,1.33,9.74,0.62,124,10,1.45,75.5,107.31,57,51,42,86,0,-2.2,9.1
Estonia,Northern Europe,Europe (other),Christian,1315000,43470,5.638,20613.216,53.23,0.6997,16.94040164,0.575,16.17,23.54,26.915,6.19,50,30.4,39.9,0.2,59.6,0,0,0,0,0.1,5,69.2,7.9,31,1.58,6.15,2.12,187,11.6,1.13,28.8,85.67,X,X,X,X,X,-1.6,11.6
Ethiopia,Sub-Saharan Africa,African (other),Mixed,100835000,1000000,4.424,751.04,50.01,0.6198,4.99546041,0.65,5.56,20.495,53.11,4.97,X,35,54,42.6,0.06,0,0,2.6,0,1,28.9,21.7,3.44,25,4.57,20.1,7.56,127,2.9,0.49,X,X,64,27,41,52,25,0.8,7.02
Finland,Northern Europe,Europe (other),Christian,5481000,303910,7.538,46318.574,50.78,0.8421,15.37707396,0.305,17.3,20.11,18.05,9.38,55.56,27.4,81.6,0.8,17.6,0,0,0,0,0,X,85.5,9.25,36,1.65,5.63,1.63,53,10.7,0.93,67.6,90.83,33,63,26,59,0,3,9.6
France,Southern Europe,French,Christian,64453000,547556.9922,6.516,38922.546,51.55,0.7089,17.16905077,0.255,15.775,23.565,33.64,10.36,54.29,31.6,63,7.5,28,0.05,0.5,0.3,0.2,0.5,X,81,8.12,36,1.96,12.34,1.2,105,12.6,1.2,49.8,126.99,68,71,43,86,0,1.3,8.9
Gabon,Sub-Saharan Africa,French,Christian,1948000,257670,4.41,7444.714,49.08,X,9.260464602,0.56,8.7,30.155,52.55,20,X,38,76.5,11.2,5.6,0,0,6,0.7,0,15.8,90.1,3.61,34,4.06,X,8.04,241,11.5,0.57,X,X,X,X,X,X,X,11.2,7.45
United Kingdom,Northern Europe,English,Christian,65860000,241930,6.91,42348.776,50.71,0.744,8.640534799,0.08,10.805,10.905,8.385,5.3,40.91,34.8,71.1,4.4,21.3,1.3,0.4,0.3,0.8,0.5,X,83.9,8.52,28,1.8,10.53,1.2,140,11.5,1.7,100.1,133.37,35,89,66,35,25,4,9.2
Georgia,Eastern Europe,Europe (other),Christian,4024000,69490,4.34,4385.068,52.24,0.675,9.352990548,0.295,8.49,13.44,21.515,11.96,18.84,36.4,88.5,10.7,0.7,0,0,0,0,0,9.2,59.5,5.42,39,2.05,20.1,2.22,262,9.8,0.48,X,123.28,X,X,X,X,X,-4.7,13.06
Ghana,Sub-Saharan Africa,English,Christian,27849000,227540,4.538,2021.12,49.35,0.6811,6.340163039,0.43,6.445,21.63,46.785,2.15,X,43.5,74.9,17.8,4.2,0,0,4.9,0.2,0,14,57.3,6.63,28,4.04,30.3,2.1,52,2.7,0.62,X,X,77,20,46,54,16,-0.4,7.66
Guinea,Sub-Saharan Africa,French,Muslim,11432000,245720,3.854,881.248,52.11,X,6.427897608,0.39,6.925,25.9,55.365,4.53,X,33.7,10.9,84.4,1.8,0,0,2.7,0,0,27.4,36.5,3.14,33,4.93,X,8.82,28,1.3,0.45,X,X,X,X,X,X,X,-5.4,9.34
Gambia,Sub-Saharan Africa,French,Muslim,2086000,10120,4.52,694.794,50.39,X,5.57860785,0.35,6.11,22.05,46.925,9.42,X,35.9,4.5,95.1,0,0,0,0.1,0,0,21.8,62.6,4.33,21,5.39,X,9.13,31,3.8,0.49,X,X,X,X,X,X,X,-1.6,8.33
Greece,Southern Europe,Europe (other),Christian,10660000,128900,5.154,19024.26,50.91,0.6782,5.06393238,0.075,4.5,7.075,8.1,24.9,21.74,34.4,88.1,5.3,6.1,0.1,0,0.1,0,0,X,79.7,7.43,29,1.33,22.5,0.94,95,10.4,0.55,48.1,132.79,60,35,57,112,0,-3,11.2
Guatemala,Latin America and Caribbean,Spanish,Christian,16252000,107160,6.342,4342.454,50.81,0.6304,5.214083906,0.35,8.02,6.375,7.505,2.7,31.58,48.3,95.2,0.1,4.1,0,0,0.6,0.07,0,20.6,51.8,5.26,25,3.03,20.2,22.5,143,2.5,0.68,X,X,95,6,37,101,0,-0.6,4.83
Hong Kong,Eastern Asia,English,Atheist,7186000,1050,5.452,45925.518,53.61,X,X,X,X,X,X,3.3,X,X,14.3,1.8,56.1,0.4,13.2,12.8,1.5,0,X,X,6.02,19,1.2,20.3,0.65,106,0,X,X,144.57,68,25,57,29,96,2.1,6.3
Honduras,Latin America and Caribbean,Spanish,Christian,9113000,111890,5.24,2435.84,50.07,0.6773,3.705128905,0.205,5.005,6.68,13.225,4.59,X,52.1,87.6,0.1,10.5,0,0.1,1.1,0.6,0,12.9,58.4,5.42,19,2.58,X,38.93,229,4,0.7,X,X,X,X,X,X,X,-0.7,4.42
Croatia,Eastern Europe,Europe (other),Christian,4233000,55960,5.458,13465.83,51.91,0.7069,17.24876503,0.41,11.995,24.975,38.27,16.18,34.69,30.4,93.4,1.4,5.1,0,0,0,0,0,5,57.6,6.57,33,1.4,19.09,0.58,79,8.9,0.73,X,100.73,X,X,X,X,X,-1.8,12.9
Haiti,Latin America and Caribbean,French,Christian,10696000,27560,3.866,787.938,50.64,X,7.093064775,0.465,9.36,15.31,21.91,14.05,X,41.1,86.9,0.1,10.6,0,0,2.2,0.3,0,34.7,57.1,4.57,27,3.1,X,6.68,80,5.8,0.63,X,X,X,X,X,X,X,-2.9,8.89
