Country,Duration of compulsory education (years),"Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, lower secondary, gender parity index (GPI)","Gross enrolment ratio, lower secondary, male (%)","Gross enrolment ratio, primary and lower secondary, both sexes (%)","Gross enrolment ratio, primary and lower secondary, female (%)","Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)","Gross enrolment ratio, primary and lower secondary, male (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary, female (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, primary, male (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Gross intake ratio to Grade 1 of primary education, gender parity index (GPI)","Gross intake ratio to Grade 1 of primary education, male (%)","Gross outbound enrolment ratio, all regions, both sexes (%)",Internet users (per 100 people),"Labor force, female (% of total labor force)","Labor force, total","Mortality rate, under-5 (per 1,000)","Net enrolment rate, lower secondary, both sexes (%)","New entrants to Grade 1 of primary education, percentage female (%)",Official entrance age to compulsory education (years),Official entrance age to early childhood education (years),Official entrance age to lower secondary education (years),Official entrance age to pre-primary education (years),Official entrance age to primary education (years),Official entrance age to upper secondary education (years),Percentage of enrolment in lower secondary education in private institutions (%),Percentage of enrolment in primary education in private institutions (%),Percentage of enrolment in secondary education in private institutions (%),Percentage of enrolment in upper secondary education in private institutions (%),Percentage of students in lower secondary education who are female (%),Percentage of students in lower secondary general education who are female (%),Percentage of students in primary education who are female (%),Percentage of students in secondary education who are female (%),Percentage of students in secondary general education who are female (%),Percentage of students in upper secondary education who are female (%),Percentage of students in upper secondary general education who are female (%),"Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, female (%)","Gross enrolment ratio, pre-primary, gender parity index (GPI)","Gross enrolment ratio, pre-primary, male (%)","Outbound mobility ratio, all regions, both sexes (%)",Percentage of enrolment in pre-primary education in private institutions (%),Percentage of students in pre-primary education who are female (%),Percentage of students in tertiary education who are female (%),Percentage of students in early childhood education who are female (%),"Gross enrolment ratio, early childhood education, both sexes (%)"
Tunisia,9,107.284355,108.4121775,1.0206325,106.23834,112.6221175,112.88146,1.0044575,112.38121,115.1426725,114.9952475,0.99755,115.28015,90.545775,78.427545,109.34908,110.3553325,1.0187625,108.4109,2.30301,56.12040383,26.57274508,4038442,17.1,85.02742667,48.7315425,6,3,12,3,6,15,4.2013175,5.5411825,7.344195,10.65202,48.603075,49.3475325,48.12326,51.36858,52.829185,54.6209,56.479175,44.162525,44.62689,1.02058,43.728495,6.930496667,79.22715,48.822945,62.591145,48.822945,44.162525
Bangladesh,5,89.2112375,99.9884625,1.267255,78.886365,106.221315,113.200635,1.137295,99.5335,115.7275,119.904855,1.073235,111.72213,69.8497,55.42087,106.8023325,109.4944025,1.05302,104.2214475,0.393395,15.80666667,29.60352475,66509960.4,33.025,66.461955,50.2280475,6,3,11,3,6,14,96.4802425,22.65078,94.12464,90.68340333,54.8339375,54.8339375,50.7158,52.17575,53.2646925,48.99185,51.2005975,37.60748,38.2286325,1.0321725,37.0122625,2.184715,45.9450375,49.7273,40.38950333,49.7273,37.60748
Iran,9,94.3478,92.62795,0.96499,95.98845,105.782925,107.645535,1.03496,104.009525,110.28127,113.73837,1.06306,106.9912867,86.34907667,78.75008,104.1594667,103.7938867,0.993173333,104.50721,0.833373333,58.15256835,19.00099758,27002405.8,15.2,89.917445,48.57894667,6,5,12,5,6,14.8,9.031335,10.95572,13.18290667,17.786565,47.931185,47.91625,50.2896,47.84512333,49.99354667,48.060355,53.859095,53.20869,53.663625,1.016745,52.776005,1.21358,93.21122,49.16361,45.99746,49.16361,53.20869
Ukraine,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.59137438,47.23179543,20589928,9.1,0,48.843685,6,1,10,3,6,15,0.4912425,0.702945,0.4602375,0.371905,48.9263475,48.9263475,48.9572775,48.50804,49.391745,47.3264825,51.291035,0,0,0,0,4.35971,0.8538625,47.95619,51.9487375,47.985235,0
Iraq,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86901,42.86333296,14.50850807,9945878.8,28.075,0,0,6,4,12,4,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,9,103.90519,105.6935667,1.035163333,102.1425733,103.35019,101.8522067,0.972046667,104.82154,103.2066933,100.8442667,0.95603,105.52494,107.1063367,109.2270067,97.85362667,95.71001,0.958856667,99.94887,0.1589,54.02883673,45.09537038,22545525.4,35.85,55.36368,48.37757667,7,0,14,4,7,16,3.785956667,3.818655,4.43872,4.84937,50.49376667,50.49376667,48.39464667,50.96730333,51.13058333,51.26944,51.59102,24.67643667,24.72262667,1.003696667,24.63135,0.722693333,6.457006667,49.48787667,58.22124667,0,0
Ghana,11,85.708994,85.716296,1.000364,85.701798,99.510348,99.869546,1.00721,99.165772,105.797124,106.309964,1.00962,105.304854,68.342174,51.132504,103.5401775,104.0248475,1.009285,103.0748925,0.50679,32.88866688,46.43803506,12309510.2,51.225,48.49135,49.21349,4,0,12,4,6,15,21.913218,26.054745,16.454968,7.367456,48.927132,48.927132,49.215236,48.272366,48.82091,47.169304,48.61654,117.8067175,119.0675675,1.02115,116.596045,3.217976667,27.8919825,49.468806,41.00343,49.494366,55.2240875
Zimbabwe,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26078,24.30609828,50.92688303,6802754,50.05,0,0,6,4,13,4,6,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59951,0,0,47.89452,0,0
Liberia,6,48.80862667,46.00312333,0.891453333,51.53113333,77.32233667,75.08619667,0.94703,79.48399333,89.97070333,88.02331333,0.961156667,91.84983,37.9035,29.94958,96.469025,96.491935,1.00061,96.4469,0,16.10119538,47.34341683,2099559.4,74.825,9.98244,49.063075,6,3,12,3,6,15,56.24414333,43.36885667,58.36831,64.69804,46.28711,46.28711,48.08483,42.85374,47.323275,41.84019,46.71285,139.1172967,138.5010533,0.993766667,139.7102,0,40.92596667,48.84716333,0,48.84716333,139.1172967
India,8,86.8880025,89.561595,1.0598075,84.5039175,102.7533633,108.74439,1.11658,97.37959333,111.9938033,119.8210267,1.14149,104.9441367,74.39886,64.8885325,101.84859,102.637195,1.0148075,101.135095,0.246366667,24.48333333,20.34410048,484596188.8,40,0,47.8940825,6,3,11,3,6,14,42.24521667,34.46927333,50.34261,59.263795,48.5936775,48.5936775,50.68298333,47.70401,48.05507667,46.7876075,47.43442,13.02604,12.50295,0.926206667,13.50106,0.911293333,75.74703333,45.68322,47.87721,45.68322,13.02604
